country,village,cons_index,treatment_village,treated,household_id
Ghana,13,,0,0,4693
Ghana,13,-.28181767,0,0,4691
Ghana,13,-.29875106,0,0,4688
Ghana,13,-.71245974,0,0,4702
Ghana,13,,0,0,4703
Ghana,13,1.6727076,0,0,4699
Ghana,13,-.66451204,0,0,4695
Ghana,13,-.82232159,0,0,4704
Ghana,13,-.65312135,0,0,4694
Ghana,13,,0,0,4701
Ghana,13,-.86284721,0,0,4697
Ghana,13,-.72371417,0,0,4700
Ghana,13,-.89990193,0,0,4689
Ghana,13,-.84786952,0,0,4698
Ghana,13,.59132469,0,0,4696
Ghana,13,-.92252904,0,0,4690
Ghana,13,-.71882612,0,0,4692
Ghana,14,.61792356,1,1,4712
Ghana,14,-.20361522,1,0,4711
Ghana,14,.64857608,1,0,4713
Ghana,14,-.56035507,1,1,4715
Ghana,14,-.31769302,1,1,4714
Ghana,14,.96643484,1,0,4708
Ghana,14,.22298798,1,0,4705
Ghana,14,1.8767736,1,1,4710
Ghana,14,-.20531407,1,0,4706
Ghana,14,.24148846,1,0,4707
Ghana,14,.82031983,1,1,4709
Ghana,15,.057756141,0,0,4738
Ghana,15,-.62393159,0,0,4721
Ghana,15,7.7200866,0,0,4731
Ghana,15,.18064806,0,0,4718
Ghana,15,.38811222,0,0,4723
Ghana,15,.95332581,0,0,4742
Ghana,15,,0,0,4744
Ghana,15,2.2334571,0,0,4741
Ghana,15,.2492362,0,0,4725
Ghana,15,-.88463008,0,0,4750
Ghana,15,-.54793411,0,0,4748
Ghana,15,1.7420312,0,0,4739
Ghana,15,-.46199828,0,0,4734
Ghana,15,2.2883332,0,0,4737
Ghana,15,-.85070431,0,0,4732
Ghana,15,.21941566,0,0,4747
Ghana,15,-.51039207,0,0,4726
Ghana,15,-.67672771,0,0,4729
Ghana,15,.17456073,0,0,4727
Ghana,15,-.077850081,0,0,4722
Ghana,15,-.57471478,0,0,4720
Ghana,15,.18304479,0,0,4749
Ghana,15,-.88448876,0,0,4716
Ghana,15,.26614416,0,0,4724
